_id,bme680_IAQ,bme680_IAQ_Accuracy,bme680_Static_IAQ,bme680_gas_per_kOhms,bme680_humidity,bme680_pressure,bme680_rawHumidity,bme680_rawTemperature,bme680_temperature,ccs_TVOC,ccs_eCO2,created_at,esp32_ChipID,mhz19_ppm,nextpm_pm1,nextpm_pm10,nextpm_pm25
62f233c6626d4e008aca9c23,25,0,25,15.888,32.39819,1021.47,33.598,27.81,27.80968,15,505,2022-08-09T12:15:34.676Z,13631180,404,0.7,3.3,1.5
62f234e0626d4e008aca9c25,25,0,25,18.807,32.88076,1020.19,33.731,28.99,28.98965,123,1212,2022-08-09T12:20:16.482Z,13837956,401,1.3,6.8,2.5
62f23b20626d4e008aca9c27,25,0,25,15.07,32.4573,1021.39,33.18,28.09,28.08968,0,400,2022-08-09T12:46:56.865Z,13631180,406,0.7,2,1.6
62f23c08626d4e008aca9c29,25,0,25,19.013,32.18901,1020.04,33.005,29.2,29.19965,36,641,2022-08-09T12:50:48.679Z,13837956,402,1.3,3.8,2.4
62f24278626d4e008aca9c2b,25,0,25,14.635,30.97075,1021.14,31.845,28.89,28.88968,1,413,2022-08-09T13:18:16.550Z,13631180,403,0.9,3.3,1.8
62f24331626d4e008aca9c2d,25,0,25,19.153,31.64863,1019.88,32.479,29.45,29.44965,928,2104,2022-08-09T13:21:21.900Z,13837956,404,1.3,3.3,2.3
62f249d5626d4e008aca9c2f,25,0,25,14.532,31.30792,1020.96,32.076,28.56,28.55968,0,402,2022-08-09T13:49:41.742Z,13631180,404,1,2.6,1.7
62f24a5b626d4e008aca9c31,25,0,25,19.905,30.40352,1019.7,31.158,29.56,29.55965,63,819,2022-08-09T13:51:55.216Z,13837956,404,1.9,9.9,3.8
62f2512e626d4e008aca9c33,25,0,25,14.431,30.42825,1020.64,31.43,28.98,28.97968,6,444,2022-08-09T14:21:02.787Z,13631180,403,1.1,2.5,1.9
62f25183626d4e008aca9c35,25,0,25,20.079,30.39303,1019.37,31.09,29.68,29.67965,0,0,2022-08-09T14:22:27.520Z,13837956,403,1.4,5.3,2.6
62f2588a626d4e008aca9c37,25,0,25,14.147,29.98892,1020.41,30.819,29.27,29.26968,3,425,2022-08-09T14:52:26.240Z,13631180,402,0.9,2.2,1.6
62f258ab626d4e008aca9c39,25,0,25,20.314,29.20147,1019.15,29.925,29.77,29.76965,0,0,2022-08-09T14:52:59.932Z,13837956,403,1.2,5.5,2.8
62f25fd4626d4e008aca9c3b,25,0,25,20.596,28.7694,1018.88,29.455,29.86,29.85965,0,0,2022-08-09T15:23:32.417Z,13837956,404,1.2,6.7,2.1
62f25fea626d4e008aca9c3d,25,0,25,14.243,30.15172,1020.13,30.959,29.11,29.10968,4,427,2022-08-09T15:23:54.476Z,13631180,404,0.9,1.5,1.2
62f266fd626d4e008aca9c3f,25,0,25,20.928,28.77344,1018.68,29.432,29.94,29.93966,0,0,2022-08-09T15:54:05.025Z,13837956,401,1.3,5.9,2.4
62f2674a626d4e008aca9c41,25,0,25,14.253,29.83352,1019.94,30.562,29.19,29.18968,0,400,2022-08-09T15:55:22.035Z,13631180,403,0.8,2.9,1.2
62f26e24626d4e008aca9c43,25,0,25,21.184,28.11275,1018.45,28.769,29.99,29.98965,0,0,2022-08-09T16:24:36.629Z,13837956,404,1.3,4,2.1
62f26ea2626d4e008aca9c45,25,0,25,14.352,29.91523,1019.6,30.801,29.03,29.02968,22,545,2022-08-09T16:26:42.615Z,13631180,406,0.8,1.8,1.5
62f2754d626d4e008aca9c47,25,0,25,21.227,27.31393,1018.03,27.926,30.03,30.02965,0,0,2022-08-09T16:55:09.161Z,13837956,401,1.1,4.2,2.1
62f275ff626d4e008aca9c49,25,0,25,14.492,30.05991,1019.31,30.725,28.94,28.93968,0,405,2022-08-09T16:58:07.857Z,13631180,405,0.6,1.8,0.9
62f27c75626d4e008aca9c4b,25,0,25,21.336,27.39058,1018.01,28.042,30.13,30.12965,0,0,2022-08-09T17:25:41.935Z,13837956,401,1,3.8,1.8
62f27d58626d4e008aca9c4d,25,0,25,14.492,29.75033,1019.35,30.464,28.98,28.97968,2,416,2022-08-09T17:29:28.763Z,13631180,405,0.6,1.2,1
62f2839d626d4e008aca9c4f,25,0,25,21.424,27.59687,1017.75,28.253,30.17,30.16965,0,0,2022-08-09T17:56:13.995Z,13837956,404,1,3.1,1.6
62f284b3626d4e008aca9c51,25,0,25,14.421,29.50932,1019.04,30.217,29.02,29.01968,9,463,2022-08-09T18:00:51.757Z,13631180,405,0.5,1.4,0.9
62f28ac6626d4e008aca9c53,25,0,25,21.227,27.3255,1017.48,27.962,30.28,30.27965,0,0,2022-08-09T18:26:46.008Z,13837956,403,1.1,4.3,1.8
62f28c0e626d4e008aca9c55,25,0,25,14.645,29.4735,1018.72,30.112,28.91,28.90968,1,410,2022-08-09T18:32:14.992Z,13631180,405,0.5,1.2,0.9
62f291ed626d4e008aca9c57,25,0,25,21.602,27.03913,1017.48,27.669,30.27,30.26965,0,0,2022-08-09T18:57:17.359Z,13837956,404,1,2.8,1.6
62f2936e626d4e008aca9c59,25,0,25,14.666,29.47997,1018.74,30.188,28.82,28.81968,1,410,2022-08-09T19:03:42.838Z,13631180,405,0.7,2.1,1.3
62f29914626d4e008aca9c5b,25,0,25,22.061,26.715,1017.48,27.325,30.26,30.25966,0,0,2022-08-09T19:27:48.464Z,13837956,401,1,3.1,1.7
62f29ac8626d4e008aca9c5d,25,0,25,14.563,29.52945,1018.8,30.142,28.82,28.81968,9,464,2022-08-09T19:35:04.519Z,13631180,406,0.6,2.5,1
62f2a03d626d4e008aca9c5f,25,0,25,22.687,25.92996,1017.52,26.51,30.27,30.26966,0,0,2022-08-09T19:58:21.474Z,13837956,402,0.9,2.4,1.5
62f2a220626d4e008aca9c61,25,0,25,14.655,29.72454,1018.82,30.287,28.51,28.50968,2,416,2022-08-09T20:06:24.408Z,13631180,405,0.8,2.8,1.3
62f2a765626d4e008aca9c63,25,0,25,22.466,26.50659,1017.65,27.1,30.16,30.15965,162,1465,2022-08-09T20:28:53.491Z,13837956,400,0.8,2.1,1.4
62f2a976626d4e008aca9c65,25,0,25,14.666,30.14705,1018.96,30.875,28.1,28.09968,9,465,2022-08-09T20:37:42.914Z,13631180,404,0.5,0.7,0.7
62f2ae8d626d4e008aca9c67,25,0,25,21.76,26.91681,1017.71,27.495,30.04,30.03965,80,930,2022-08-09T20:59:25.420Z,13837956,404,0.8,2.5,1.3
62f2b0ce626d4e008aca9c69,25,0,25,14.532,30.44014,1019.08,31.234,27.86,27.85968,8,455,2022-08-09T21:09:02.442Z,13631180,404,0.4,1,0.7
62f2b5b6626d4e008aca9c6b,25,0,25,21.076,27.25142,1017.99,27.85,29.91,29.90965,88,981,2022-08-09T21:29:58.178Z,13837956,404,0.8,1.5,1.1
62f2b829626d4e008aca9c6d,25,0,25,14.563,30.96559,1019.35,31.672,27.64,27.63968,3,423,2022-08-09T21:40:25.510Z,13631180,404,0.5,0.7,0.7
62f2bcdd626d4e008aca9c6f,25,0,25,19.867,27.68282,1018.35,28.304,29.85,29.84965,253,1607,2022-08-09T22:00:29.509Z,13837956,404,0.7,1.7,0.9
62f2bf80626d4e008aca9c71,25,0,25,14.441,31.33369,1019.58,32.064,27.51,27.50968,5,436,2022-08-09T22:11:44.718Z,13631180,404,0.5,1,0.7
62f2c405626d4e008aca9c73,25,0,25,18.638,28.06316,1018.51,28.706,29.83,29.82965,11,476,2022-08-09T22:31:01.838Z,13837956,401,0.7,1.4,1
62f2c6dd626d4e008aca9c75,25,0,25,14.401,31.89027,1019.78,32.544,27.36,27.35968,2,417,2022-08-09T22:43:09.645Z,13631180,404,0.5,0.6,0.5
62f2cb2e626d4e008aca9c77,25,0,25,17.006,28.27112,1018.62,28.945,29.83,29.82965,209,1555,2022-08-09T23:01:34.295Z,13837956,402,0.6,1.6,0.9
62f2ce36626d4e008aca9c79,25,0,25,14.362,32.05171,1019.72,32.815,27.32,27.31968,1,407,2022-08-09T23:14:30.946Z,13631180,404,0.4,1.1,0.8
62f2d256626d4e008aca9c7b,25,0,25,16.402,28.40514,1018.56,29.056,29.79,29.78965,17,515,2022-08-09T23:32:06.800Z,13837956,404,0.7,0.9,0.9
62f2d592626d4e008aca9c7d,25,0,25,14.411,32.49112,1019.72,33.235,27.16,27.15968,2,415,2022-08-09T23:45:54.704Z,13631180,404,0.4,0.7,0.6
62f2d97f626d4e008aca9c7f,25,0,25,15.827,28.7124,1018.58,29.357,29.78,29.77965,35,631,2022-08-10T00:02:39.180Z,13837956,404,0.7,1.2,1.1
62f2dced626d4e008aca9c81,25,0,25,14.441,32.58821,1019.74,33.443,27.09,27.08968,2,417,2022-08-10T00:17:17.072Z,13631180,404,0.5,1.2,0.8
62f2e0a7626d4e008aca9c83,25,0,25,15.731,28.94511,1018.53,29.595,29.77,29.76966,29,594,2022-08-10T00:33:11.847Z,13837956,404,0.8,1.3,1.2
62f2e448626d4e008aca9c85,25,0,25,14.322,32.84904,1019.66,33.68,27,26.99968,2,416,2022-08-10T00:48:40.151Z,13631180,404,0.4,0.9,0.6
